period,value,is_imputed,prcp,snow,snwd,tmin,tmax,rh_mean,rh_max,dew_point,solar_rad,cloud_cover,daylight_hours,sunshine_hours,is_weekend,is_holiday,day_of_week,day_name,tavg,hdd,cdd,tavg_3day,cdd_3day,hdd_3day,tavg_lag1
2019-01-01,119601,0,0.06,0.0,0.0,39.0,58.0,75,97,41.3,6.43,89,9.31,5.15,0,1,1,Tuesday,48.5,1.5,0.0,,,,
2019-01-02,136354,0,0.0,0.0,0.0,35.0,40.0,67,76,25.5,6.22,99,9.32,5.38,0,0,2,Wednesday,37.5,12.5,0.0,,,,48.5
2019-01-03,136364,0,0.0,0.0,0.0,37.0,44.0,71,85,30.8,7.57,68,9.33,6.68,0,0,3,Thursday,40.5,9.5,0.0,42.2,0.0,7.8,37.5
2019-01-04,136034,0,0.0,0.0,0.0,35.0,47.0,77,95,30.1,7.26,72,9.35,6.91,0,0,4,Friday,41.0,9.0,0.0,39.7,0.0,10.3,40.5
2019-01-05,124696,0,0.5,0.0,0.0,41.0,47.0,94,97,40.1,1.41,87,9.36,0.0,1,0,5,Saturday,44.0,6.0,0.0,41.8,0.0,8.2,41.0
2019-01-06,123149,0,0.0,0.0,0.0,31.0,49.0,68,89,28.5,7.39,28,9.38,8.11,1,0,6,Sunday,40.0,10.0,0.0,41.7,0.0,8.3,44.0
2019-01-07,142770,0,0.0,0.0,0.0,25.0,34.0,48,63,10.9,7.15,64,9.4,7.03,0,0,0,Monday,29.5,20.5,0.0,37.8,0.0,12.2,40.0
2019-01-08,138751,0,0.17,0.0,0.0,34.0,45.0,86,100,35.4,3.87,90,9.42,2.93,0,0,1,Tuesday,39.5,10.5,0.0,36.3,0.0,13.7,29.5
2019-01-09,137410,0,0.06,0.0,0.0,34.0,45.0,65,100,28.3,6.54,68,9.44,7.32,0,0,2,Wednesday,39.5,10.5,0.0,36.2,0.0,13.8,39.5
2019-01-10,143223,0,0.0,0.0,0.0,28.0,34.0,52,59,15.9,5.94,75,9.46,6.31,0,0,3,Thursday,31.0,19.0,0.0,36.7,0.0,13.3,39.5
2019-01-11,147813,0,0.0,0.0,0.0,21.0,30.0,45,53,6.6,9.7,25,9.48,9.32,0,0,4,Friday,25.5,24.5,0.0,32.0,0.0,18.0,31.0
2019-01-12,137066,0,0.0,0.0,0.0,20.0,34.0,43,53,6.7,9.39,59,9.5,9.11,1,0,5,Saturday,27.0,23.0,0.0,27.8,0.0,22.2,25.5
2019-01-13,134196,0,0.0,0.0,0.0,25.0,33.0,49,61,10.5,8.79,70,9.53,7.76,1,0,6,Sunday,29.0,21.0,0.0,27.2,0.0,22.8,27.0
2019-01-14,148361,0,0.0,0.0,0.0,22.0,32.0,54,71,10.3,9.97,32,9.55,8.97,0,0,0,Monday,27.0,23.0,0.0,27.7,0.0,22.3,29.0
2019-01-15,146343,0,0.0,0.0,0.0,25.0,36.0,55,83,13.5,9.18,32,9.57,9.16,0,0,1,Tuesday,30.5,19.5,0.0,28.8,0.0,21.2,27.0
2019-01-16,144923,0,0.0,0.0,0.0,30.0,39.0,65,84,20.3,8.29,47,9.6,9.19,0,0,2,Wednesday,34.5,15.5,0.0,30.7,0.0,19.3,30.5
2019-01-17,145991,0,0.0,0.0,0.0,24.0,33.0,56,72,13.6,8.75,75,9.63,6.6,0,0,3,Thursday,28.5,21.5,0.0,31.2,0.0,18.8,34.5
2019-01-18,143529,0,0.05,0.5,1.2,29.0,39.0,81,91,27.0,5.73,98,9.65,3.85,0,0,4,Friday,34.0,16.0,0.0,32.3,0.0,17.7,28.5
2019-01-19,132279,0,0.29,0.2,0.0,32.0,37.0,77,97,25.1,5.82,76,9.68,4.55,1,0,5,Saturday,34.5,15.5,0.0,32.3,0.0,17.7,34.0
2019-01-20,133912,0,0.88,0.0,0.0,14.0,42.0,85,99,27.5,3.36,79,9.71,2.21,1,0,6,Sunday,28.0,22.0,0.0,32.2,0.0,17.8,34.5
2019-01-21,159311,0,0.0,0.0,0.0,4.0,14.0,55,62,-5.0,10.75,47,9.74,9.35,0,1,0,Monday,9.0,41.0,0.0,23.8,0.0,26.2,28.0
2019-01-22,159198,0,0.0,0.0,0.0,13.0,31.0,53,66,3.2,11.3,31,9.77,9.56,0,0,1,Tuesday,22.0,28.0,0.0,19.7,0.0,30.3,9.0
2019-01-23,148575,0,0.0,0.0,0.0,31.0,52.0,63,88,22.9,4.9,95,9.8,3.61,0,0,2,Wednesday,41.5,8.5,0.0,24.2,0.0,25.8,22.0
2019-01-24,139935,0,1.33,0.0,0.0,35.0,59.0,90,96,44.9,0.76,88,9.83,0.0,0,0,3,Thursday,47.0,3.0,0.0,36.8,0.0,13.2,41.5
2019-01-25,141638,0,0.0,0.0,0.0,28.0,40.0,59,81,16.9,8.54,27,9.87,8.25,0,0,4,Friday,34.0,16.0,0.0,40.8,0.0,9.2,47.0
2019-01-26,134276,0,0.0,0.0,0.0,24.0,35.0,53,69,11.5,10.04,41,9.9,9.72,1,0,5,Saturday,29.5,20.5,0.0,36.8,0.0,13.2,34.0
2019-01-27,127404,0,0.0,0.0,0.0,32.0,49.0,66,86,25.9,10.41,52,9.93,8.56,1,0,6,Sunday,40.5,9.5,0.0,34.7,0.0,15.3,29.5
2019-01-28,145347,0,0.0,0.0,0.0,25.0,38.0,53,69,12.3,9.82,77,9.97,9.75,0,0,0,Monday,31.5,18.5,0.0,33.8,0.0,16.2,40.5
2019-01-29,146703,0,0.23,0.0,0.0,25.0,43.0,81,98,25.7,2.4,83,10.0,0.0,0,0,1,Tuesday,34.0,16.0,0.0,35.3,0.0,14.7,31.5
2019-01-30,153858,0,0.01,0.4,0.0,6.0,35.0,50,94,4.3,10.85,22,10.04,8.07,0,0,2,Wednesday,20.5,29.5,0.0,28.7,0.0,21.3,34.0
2019-01-31,166578,0,0.0,0.0,0.0,2.0,16.0,32,40,-15.0,12.75,0,10.08,9.8,0,0,3,Thursday,9.0,41.0,0.0,21.2,0.0,28.8,20.5
