"STATION","DATE","PRCP","SNOW","SNWD","TMAX","TMIN"
"USW00094728","2022-01-01","0.79","0.0","0.0","56","50"
"USW00094728","2022-01-02","0.04","0.0","0.0","59","37"
"USW00094728","2022-01-03","0.00","0.0","0.0","37","22"
"USW00094728","2022-01-04","0.00","0.0","0.0","34","19"
"USW00094728","2022-01-05","0.23","0.0","0.0","47","31"
"USW00094728","2022-01-06","0.00","0.0","0.0","41","34"
"USW00094728","2022-01-07","0.38","5.8","5.9","34","25"
"USW00094728","2022-01-08","0.00","0.0","3.1","30","20"
"USW00094728","2022-01-09","0.10","0.0","3.1","40","29"
"USW00094728","2022-01-10","0.00","0.0","0.0","40","24"
"USW00094728","2022-01-11","0.00","0.0","0.0","24","15"
"USW00094728","2022-01-12","0.00","0.0","0.0","40","20"
"USW00094728","2022-01-13","0.00","0.0","0.0","48","34"
"USW00094728","2022-01-14","0.00","0.0","0.0","43","21"
"USW00094728","2022-01-15","0.00","0.0","0.0","21","10"
"USW00094728","2022-01-16","0.37","0.8","0.0","37","10"
"USW00094728","2022-01-17","1.16","0.0","0.0","44","34"
"USW00094728","2022-01-18","0.00","0.0","0.0","36","29"
"USW00094728","2022-01-19","0.00","0.0","0.0","49","28"
"USW00094728","2022-01-20","0.30","0.0","0.0","46","22"
"USW00094728","2022-01-21","0.00","0.0","0.0","22","14"
"USW00094728","2022-01-22","0.00","0.0","0.0","29","13"
"USW00094728","2022-01-23","0.02","0.2","0.0","37","24"
"USW00094728","2022-01-24","0.00","0.0","0.0","36","26"
"USW00094728","2022-01-25","0.00","0.0","0.0","42","28"
"USW00094728","2022-01-26","0.00","0.0","0.0","28","20"
"USW00094728","2022-01-27","0.00","0.0","0.0","32","17"
"USW00094728","2022-01-28","0.13","1.2","0.0","32","29"
"USW00094728","2022-01-29","0.77","7.3","5.9","29","12"
"USW00094728","2022-01-30","0.00","0.0","7.1","26","12"
"USW00094728","2022-01-31","0.00","0.0","5.9","31","21"
"USW00094728","2022-02-01","0.00","0.0","5.9","36","23"
"USW00094728","2022-02-02","0.00","0.0","3.9","47","32"
"USW00094728","2022-02-03","0.42","0.0","2.0","52","42"
"USW00094728","2022-02-04","0.72","0.0","0.0","57","26"
"USW00094728","2022-02-05","0.00","0.0","0.0","27","19"
"USW00094728","2022-02-06","0.00","0.0","0.0","30","17"
"USW00094728","2022-02-07","0.15","0.0","0.0","37","30"
"USW00094728","2022-02-08","0.07","0.0","0.0","45","32"
"USW00094728","2022-02-09","0.00","0.0","0.0","46","29"
"USW00094728","2022-02-10","0.00","0.0","0.0","54","37"
"USW00094728","2022-02-11","0.00","0.0","0.0","57","38"
"USW00094728","2022-02-12","0.00","0.0","0.0","59","42"
"USW00094728","2022-02-13","0.23","1.6","1.2","42","25"
"USW00094728","2022-02-14","0.00","0.0","1.2","25","16"
"USW00094728","2022-02-15","0.00","0.0","0.0","30","16"
"USW00094728","2022-02-16","0.00","0.0","0.0","49","28"
"USW00094728","2022-02-17","0.31","0.0","0.0","68","49"
"USW00094728","2022-02-18","0.33","0.0","0.0","63","27"
"USW00094728","2022-02-19","0.00","0.0","0.0","40","23"
"USW00094728","2022-02-20","0.00","0.0","0.0","36","21"
"USW00094728","2022-02-21","0.00","0.0","0.0","55","32"
"USW00094728","2022-02-22","0.26","0.0","0.0","61","37"
"USW00094728","2022-02-23","0.00","0.0","0.0","68","35"
"USW00094728","2022-02-24","0.00","0.0","0.0","35","29"
