period,respondent,respondent-name,type,type-name,timezone,timezone-description,value,value-units
2026-07-23,NY,New York,DF,Day-ahead demand forecast,Eastern,Eastern,413412,megawatthours
2026-07-22,NY,New York,D,Demand,Eastern,Eastern,476647,megawatthours
2026-07-22,NY,New York,DF,Day-ahead demand forecast,Eastern,Eastern,476550,megawatthours
2026-07-22,NY,New York,NG,Net generation,Eastern,Eastern,417475,megawatthours
2026-07-22,NY,New York,TI,Total interchange,Eastern,Eastern,-59172,megawatthours
2026-07-21,NY,New York,D,Demand,Eastern,Eastern,475020,megawatthours
2026-07-21,NY,New York,DF,Day-ahead demand forecast,Eastern,Eastern,479599,megawatthours
2026-07-21,NY,New York,NG,Net generation,Eastern,Eastern,415697,megawatthours
2026-07-21,NY,New York,TI,Total interchange,Eastern,Eastern,-59323,megawatthours
2026-07-20,NY,New York,D,Demand,Eastern,Eastern,425790,megawatthours
2026-07-20,NY,New York,DF,Day-ahead demand forecast,Eastern,Eastern,415713,megawatthours
2026-07-20,NY,New York,NG,Net generation,Eastern,Eastern,363647,megawatthours
2026-07-20,NY,New York,TI,Total interchange,Eastern,Eastern,-62143,megawatthours
2026-07-19,NY,New York,D,Demand,Eastern,Eastern,412254,megawatthours
2026-07-19,NY,New York,DF,Day-ahead demand forecast,Eastern,Eastern,416755,megawatthours
2026-07-19,NY,New York,NG,Net generation,Eastern,Eastern,348692,megawatthours
2026-07-19,NY,New York,TI,Total interchange,Eastern,Eastern,-63562,megawatthours
2026-07-18,NY,New York,D,Demand,Eastern,Eastern,454595,megawatthours
2026-07-18,NY,New York,DF,Day-ahead demand forecast,Eastern,Eastern,466748,megawatthours
2026-07-18,NY,New York,NG,Net generation,Eastern,Eastern,386762,megawatthours
2026-07-18,NY,New York,TI,Total interchange,Eastern,Eastern,-67833,megawatthours
2026-07-17,NY,New York,D,Demand,Eastern,Eastern,477357,megawatthours
2026-07-17,NY,New York,DF,Day-ahead demand forecast,Eastern,Eastern,478035,megawatthours
2026-07-17,NY,New York,NG,Net generation,Eastern,Eastern,419560,megawatthours
2026-07-17,NY,New York,TI,Total interchange,Eastern,Eastern,-57797,megawatthours
2026-07-16,NY,New York,D,Demand,Eastern,Eastern,512171,megawatthours
2026-07-16,NY,New York,DF,Day-ahead demand forecast,Eastern,Eastern,543067,megawatthours
2026-07-16,NY,New York,NG,Net generation,Eastern,Eastern,465651,megawatthours
2026-07-16,NY,New York,TI,Total interchange,Eastern,Eastern,-46520,megawatthours
2026-07-15,NY,New York,D,Demand,Eastern,Eastern,581613,megawatthours
2026-07-15,NY,New York,DF,Day-ahead demand forecast,Eastern,Eastern,600604,megawatthours
2026-07-15,NY,New York,NG,Net generation,Eastern,Eastern,515926,megawatthours
2026-07-15,NY,New York,TI,Total interchange,Eastern,Eastern,-65687,megawatthours
2026-07-14,NY,New York,D,Demand,Eastern,Eastern,542800,megawatthours
2026-07-14,NY,New York,DF,Day-ahead demand forecast,Eastern,Eastern,545381,megawatthours
2026-07-14,NY,New York,NG,Net generation,Eastern,Eastern,492003,megawatthours
2026-07-14,NY,New York,TI,Total interchange,Eastern,Eastern,-50797,megawatthours
2026-07-13,NY,New York,D,Demand,Eastern,Eastern,485110,megawatthours
2026-07-13,NY,New York,DF,Day-ahead demand forecast,Eastern,Eastern,476125,megawatthours
2026-07-13,NY,New York,NG,Net generation,Eastern,Eastern,426578,megawatthours
2026-07-13,NY,New York,TI,Total interchange,Eastern,Eastern,-58532,megawatthours
2026-07-12,NY,New York,D,Demand,Eastern,Eastern,429766,megawatthours
2026-07-12,NY,New York,DF,Day-ahead demand forecast,Eastern,Eastern,428232,megawatthours
2026-07-12,NY,New York,NG,Net generation,Eastern,Eastern,365083,megawatthours
2026-07-12,NY,New York,TI,Total interchange,Eastern,Eastern,-64683,megawatthours
2026-07-11,NY,New York,D,Demand,Eastern,Eastern,457287,megawatthours
2026-07-11,NY,New York,DF,Day-ahead demand forecast,Eastern,Eastern,456579,megawatthours
2026-07-11,NY,New York,NG,Net generation,Eastern,Eastern,392608,megawatthours
2026-07-11,NY,New York,TI,Total interchange,Eastern,Eastern,-64679,megawatthours
2026-07-10,NY,New York,D,Demand,Eastern,Eastern,515623,megawatthours
2026-07-10,NY,New York,DF,Day-ahead demand forecast,Eastern,Eastern,522248,megawatthours
2026-07-10,NY,New York,NG,Net generation,Eastern,Eastern,446030,megawatthours
2026-07-10,NY,New York,TI,Total interchange,Eastern,Eastern,-69593,megawatthours
2026-07-09,NY,New York,D,Demand,Eastern,Eastern,503247,megawatthours
2026-07-09,NY,New York,DF,Day-ahead demand forecast,Eastern,Eastern,501696,megawatthours
2026-07-09,NY,New York,NG,Net generation,Eastern,Eastern,444245,megawatthours
2026-07-09,NY,New York,TI,Total interchange,Eastern,Eastern,-59002,megawatthours
2026-07-08,NY,New York,D,Demand,Eastern,Eastern,458423,megawatthours
2026-07-08,NY,New York,DF,Day-ahead demand forecast,Eastern,Eastern,439619,megawatthours
2026-07-08,NY,New York,NG,Net generation,Eastern,Eastern,400337,megawatthours
2026-07-08,NY,New York,TI,Total interchange,Eastern,Eastern,-58086,megawatthours
2026-07-07,NY,New York,D,Demand,Eastern,Eastern,426784,megawatthours
2026-07-07,NY,New York,DF,Day-ahead demand forecast,Eastern,Eastern,439780,megawatthours
2026-07-07,NY,New York,NG,Net generation,Eastern,Eastern,375060,megawatthours
2026-07-07,NY,New York,TI,Total interchange,Eastern,Eastern,-51724,megawatthours
2026-07-06,NY,New York,D,Demand,Eastern,Eastern,459167,megawatthours
