period,value,is_imputed
2019-01-01,119601,0
2019-01-02,136354,0
2019-01-03,136364,0
2019-01-04,136034,0
2019-01-05,124696,0
2019-01-06,123149,0
2019-01-07,142770,0
2019-01-08,138751,0
2019-01-09,137410,0
2019-01-10,143223,0
2019-01-11,147813,0
2019-01-12,137066,0
2019-01-13,134196,0
2019-01-14,148361,0
2019-01-15,146343,0
2019-01-16,144923,0
2019-01-17,145991,0
2019-01-18,143529,0
2019-01-19,132279,0
2019-01-20,133912,0
2019-01-21,159311,0
2019-01-22,159198,0
2019-01-23,148575,0
2019-01-24,139935,0
2019-01-25,141638,0
2019-01-26,134276,0
2019-01-27,127404,0
2019-01-28,145347,0
2019-01-29,146703,0
2019-01-30,153858,0
2019-01-31,166578,0
2019-02-01,163256,0
2019-02-02,145804,0
2019-02-03,131390,0
2019-02-04,137369,0
2019-02-05,132731,0
2019-02-06,134941,0
2019-02-07,137591,0
2019-02-08,136194,0
2019-02-09,133854,0
2019-02-10,132123,0
2019-02-11,143162,0
2019-02-12,147267,0
2019-02-13,141368,0
2019-02-14,139781,0
2019-02-15,134017,0
2019-02-16,122681,0
2019-02-17,124444,0
2019-02-18,132375,0
2019-02-19,143375,0
2019-02-20,146783,0
2019-02-21,137778,0
2019-02-22,134984,0
2019-02-23,125888,0
2019-02-24,123497,0
2019-02-25,139220,0
2019-02-26,143977,0
2019-02-27,146740,0
2019-02-28,143568,0
2019-03-01,144308,0
2019-03-02,131932,0
2019-03-03,127285,0
2019-03-04,141496,0
2019-03-05,145819,0
2019-03-06,151133,0
2019-03-07,150928,0
2019-03-08,144237,0
2019-03-09,127330,0
2019-03-10,122703,0
2019-03-11,134548,0
2019-03-12,137516,0
2019-03-13,137522,0
2019-03-14,132981,0
2019-03-15,130524,0
2019-03-16,118295,0
2019-03-17,120153,0
2019-03-18,134932,0
2019-03-19,133841,0
2019-03-20,132471,0
2019-03-21,133776,0
2019-03-22,133807,0
2019-03-23,123832,0
2019-03-24,117964,0
2019-03-25,129783,0
2019-03-26,131720,0
2019-03-27,132901,0
2019-03-28,131634,0
2019-03-29,129664,0
2019-03-30,115078,0
2019-03-31,115241,0
2019-04-01,131674,0
2019-04-02,131047,0
2019-04-03,128648,0
2019-04-04,126966,0
2019-04-05,130603,0
2019-04-06,117035,0
2019-04-07,112880,0
2019-04-08,128595,0
2019-04-09,127521,0
2019-04-10,125957,0
2019-04-11,128312,0
2019-04-12,127562,0
2019-04-13,118357,0
2019-04-14,116481,0
2019-04-15,127795,0
2019-04-16,125906,0
2019-04-17,120257,0
2019-04-18,126494,0
2019-04-19,125896,0
2019-04-20,115263,0
2019-04-21,108480,0
2019-04-22,123212,0
2019-04-23,125324,0
2019-04-24,125452,0
2019-04-25,121982,0
2019-04-26,123036,0
2019-04-27,110330,0
2019-04-28,109986,0
2019-04-29,122788,0
2019-04-30,124142,0
2019-05-01,124392,0
2019-05-02,125825,0
2019-05-03,124402,0
2019-05-04,113412,0
2019-05-05,112693,0
2019-05-06,124527,0
2019-05-07,125335,0
2019-05-08,125344,0
2019-05-09,123486,0
2019-05-10,127630,0
2019-05-11,114199,0
2019-05-12,112482,0
2019-05-13,127578,0
2019-05-14,127299,0
2019-05-15,125446,0
2019-05-16,126102,0
2019-05-17,131001,0
2019-05-18,115861,0
2019-05-19,118365,0
2019-05-20,152580,0
2019-05-21,133705,0
2019-05-22,131494,0
2019-05-23,133209,0
2019-05-24,135155,0
2019-05-25,115120,0
2019-05-26,124725,0
2019-05-27,130806,0
2019-05-28,142568,0
2019-05-29,138576,0
2019-05-30,132614,0
2019-05-31,143687,0
2019-06-01,130607,0
2019-06-02,132932,0
2019-06-03,136132,0
2019-06-04,130630,0
2019-06-05,145649,0
2019-06-06,163065,0
2019-06-07,155590,0
2019-06-08,135629,0
2019-06-09,126640,0
2019-06-10,139108,0
2019-06-11,142714,0
2019-06-12,138851,0
2019-06-13,133742,0
2019-06-14,132404,0
2019-06-15,126902,0
2019-06-16,136393,0
2019-06-17,158268,0
2019-06-18,157077,0
2019-06-19,150630,0
2019-06-20,156815,0
2019-06-21,152143,0
2019-06-22,132495,0
2019-06-23,137106,0
2019-06-24,166482,0
2019-06-25,178863,0
2019-06-26,184472,0
2019-06-27,190510,0
2019-06-28,190202,0
2019-06-29,179742,0
2019-06-30,161779,0
2019-07-01,172828,0
2019-07-02,184540,0
2019-07-03,191174,0
2019-07-04,173293,0
2019-07-05,184981,0
2019-07-06,181680,0
2019-07-07,169715,0
2019-07-08,172271,0
2019-07-09,182587,0
2019-07-10,195836,0
2019-07-11,192374,0
2019-07-12,189586,0
2019-07-13,168975,0
2019-07-14,177278,0
2019-07-15,189142,0
2019-07-16,200849,0
2019-07-17,219115,0
2019-07-18,198383,0
2019-07-19,201920,0
2019-07-20,214771,0
2019-07-21,220298,0
2019-07-22,218830,0
2019-07-23,178801,0
2019-07-24,174985,0
2019-07-25,177454,0
2019-07-26,180046,0
2019-07-27,169518,0
2019-07-28,177709,0
2019-07-29,208617,0
2019-07-30,217177,0
2019-07-31,200904,0
2019-08-01,189107,0
2019-08-02,185439,0
2019-08-03,175506,0
2019-08-04,171092,0
2019-08-05,180987,0
2019-08-06,183041,0
2019-08-07,184904,0
2019-08-08,180273,0
2019-08-09,173232,0
2019-08-10,150390,0
2019-08-11,143910,0
2019-08-12,173637,0
2019-08-13,180280,0
2019-08-14,180655,0
2019-08-15,176305,0
2019-08-16,171237,0
2019-08-17,170360,0
2019-08-18,179439,0
2019-08-19,198538,0
2019-08-20,195864,0
2019-08-21,202881,0
2019-08-22,201112,0
2019-08-23,166673,0
2019-08-24,137008,0
2019-08-25,131680,0
2019-08-26,142416,0
2019-08-27,144355,0
2019-08-28,154019,0
2019-08-29,155919,0
2019-08-30,162992,0
2019-08-31,147902,0
2019-09-01,135953,0
2019-09-02,145653,0
2019-09-03,165032,0
2019-09-04,178071,0
2019-09-05,156467,0
2019-09-06,141617,0
2019-09-07,123258,0
2019-09-08,128175,0
2019-09-09,150285,0
2019-09-10,156309,0
2019-09-11,175087,0
2019-09-12,175320,0
2019-09-13,140284,0
2019-09-14,131628,0
2019-09-15,142795,0
2019-09-16,158631,0
2019-09-17,146321,0
2019-09-18,137217,0
2019-09-19,129578,0
2019-09-20,134240,0
2019-09-21,132112,0
2019-09-22,144358,0
2019-09-23,177502,0
2019-09-24,158095,0
2019-09-25,147724,0
2019-09-26,152827,0
2019-09-27,142426,0
2019-09-28,140615,0
2019-09-29,141173,0
2019-09-30,138386,0
2019-10-01,149338,0
2019-10-02,175819,0
2019-10-03,136374,0
2019-10-04,127648,0
2019-10-05,111215,0
2019-10-06,115438,0
2019-10-07,140154,0
2019-10-08,128499,0
2019-10-09,124031,0
2019-10-10,124796,0
2019-10-11,123347,0
2019-10-12,112699,0
2019-10-13,111027,0
2019-10-14,124046,0
2019-10-15,124453,0
2019-10-16,127824,0
2019-10-17,124308,0
2019-10-18,123510,0
2019-10-19,112395,0
2019-10-20,112976,0
2019-10-21,125350,0
2019-10-22,127288,0
2019-10-23,126354,0
2019-10-24,125188,0
2019-10-25,125217,0
2019-10-26,113463,0
2019-10-27,115405,0
2019-10-28,125913,0
2019-10-29,126989,0
2019-10-30,129033,0
2019-10-31,133604,0
2019-11-01,125014,0
2019-11-02,114591,0
2019-11-03,117766,0
2019-11-04,127118,0
2019-11-05,127372,0
2019-11-06,127199,0
2019-11-07,128255,0
2019-11-08,131662,0
2019-11-09,123213,0
2019-11-10,118125,0
2019-11-11,126543,0
2019-11-12,133748,0
2019-11-13,142020,0
2019-11-14,138742,0
2019-11-15,133823,0
2019-11-16,125179,0
2019-11-17,125216,0
2019-11-18,136383,0
2019-11-19,133618,0
2019-11-20,134216,0
2019-11-21,132941,0
2019-11-22,132644,0
2019-11-23,122927,0
2019-11-24,122128,0
2019-11-25,132542,0
2019-11-26,130426,0
2019-11-27,128403,0
2019-11-28,115759,0
2019-11-29,126365,0
2019-11-30,122415,0
2019-12-01,127480,0
2019-12-02,141752,0
2019-12-03,142575,0
2019-12-04,141162,0
2019-12-05,139469,0
2019-12-06,138082,0
