date,rh_mean,rh_max,dew_point,solar_rad,cloud_cover,daylight_hours,sunshine_hours
2019-01-01,75,97,41.3,6.43,89,9.31,5.15
2019-01-02,67,76,25.5,6.22,99,9.32,5.38
2019-01-03,71,85,30.8,7.57,68,9.33,6.68
2019-01-04,77,95,30.1,7.26,72,9.35,6.91
2019-01-05,94,97,40.1,1.41,87,9.36,0.0
2019-01-06,68,89,28.5,7.39,28,9.38,8.11
2019-01-07,48,63,10.9,7.15,64,9.4,7.03
2019-01-08,86,100,35.4,3.87,90,9.42,2.93
2019-01-09,65,100,28.3,6.54,68,9.44,7.32
2019-01-10,52,59,15.9,5.94,75,9.46,6.31
2019-01-11,45,53,6.6,9.7,25,9.48,9.32
2019-01-12,43,53,6.7,9.39,59,9.5,9.11
2019-01-13,49,61,10.5,8.79,70,9.53,7.76
2019-01-14,54,71,10.3,9.97,32,9.55,8.97
2019-01-15,55,83,13.5,9.18,32,9.57,9.16
2019-01-16,65,84,20.3,8.29,47,9.6,9.19
2019-01-17,56,72,13.6,8.75,75,9.63,6.6
2019-01-18,81,91,27.0,5.73,98,9.65,3.85
2019-01-19,77,97,25.1,5.82,76,9.68,4.55
2019-01-20,85,99,27.5,3.36,79,9.71,2.21
2019-01-21,55,62,-5.0,10.75,47,9.74,9.35
2019-01-22,53,66,3.2,11.3,31,9.77,9.56
2019-01-23,63,88,22.9,4.9,95,9.8,3.61
2019-01-24,90,96,44.9,0.76,88,9.83,0.0
2019-01-25,59,81,16.9,8.54,27,9.87,8.25
2019-01-26,53,69,11.5,10.04,41,9.9,9.72
2019-01-27,66,86,25.9,10.41,52,9.93,8.56
2019-01-28,53,69,12.3,9.82,77,9.97,9.75
2019-01-29,81,98,25.7,2.4,83,10.0,0.0
2019-01-30,50,94,4.3,10.85,22,10.04,8.07
2019-01-31,32,40,-15.0,12.75,0,10.08,9.8
2019-02-01,32,47,-9.0,8.45,42,10.11,8.58
2019-02-02,48,76,6.5,11.52,68,10.15,9.83
2019-02-03,76,92,28.0,11.7,15,10.19,9.85
2019-02-04,84,96,34.2,12.05,2,10.23,9.87
2019-02-05,83,96,40.1,9.73,55,10.26,9.59
2019-02-06,81,96,31.8,10.25,74,10.3,7.9
2019-02-07,91,98,38.3,5.45,100,10.34,0.94
2019-02-08,74,99,32.5,5.97,64,10.38,5.0
2019-02-09,41,52,5.9,13.8,4,10.42,9.98
2019-02-10,48,63,10.0,12.62,43,10.46,9.98
2019-02-11,57,69,18.2,7.27,100,10.5,3.55
2019-02-12,72,97,20.7,1.74,100,10.54,0.0
