DATE,PRCP,SNOW,SNWD,TMIN,TMAX,date
2019-01-01,0.06,0.0,0.0,39.0,58.0,2019-01-01
2019-01-02,0.0,0.0,0.0,35.0,40.0,2019-01-02
2019-01-03,0.0,0.0,0.0,37.0,44.0,2019-01-03
2019-01-04,0.0,0.0,0.0,35.0,47.0,2019-01-04
2019-01-05,0.5,0.0,0.0,41.0,47.0,2019-01-05
2019-01-06,0.0,0.0,0.0,31.0,49.0,2019-01-06
2019-01-07,0.0,0.0,0.0,25.0,34.0,2019-01-07
2019-01-08,0.17,0.0,0.0,34.0,45.0,2019-01-08
2019-01-09,0.06,0.0,0.0,34.0,45.0,2019-01-09
2019-01-10,0.0,0.0,0.0,28.0,34.0,2019-01-10
2019-01-11,0.0,0.0,0.0,21.0,30.0,2019-01-11
2019-01-12,0.0,0.0,0.0,20.0,34.0,2019-01-12
2019-01-13,0.0,0.0,0.0,25.0,33.0,2019-01-13
2019-01-14,0.0,0.0,0.0,22.0,32.0,2019-01-14
2019-01-15,0.0,0.0,0.0,25.0,36.0,2019-01-15
2019-01-16,0.0,0.0,0.0,30.0,39.0,2019-01-16
2019-01-17,0.0,0.0,0.0,24.0,33.0,2019-01-17
2019-01-18,0.05,0.5,1.2,29.0,39.0,2019-01-18
2019-01-19,0.29,0.2,0.0,32.0,37.0,2019-01-19
2019-01-20,0.88,0.0,0.0,14.0,42.0,2019-01-20
2019-01-21,0.0,0.0,0.0,4.0,14.0,2019-01-21
2019-01-22,0.0,0.0,0.0,13.0,31.0,2019-01-22
2019-01-23,0.0,0.0,0.0,31.0,52.0,2019-01-23
2019-01-24,1.33,0.0,0.0,35.0,59.0,2019-01-24
2019-01-25,0.0,0.0,0.0,28.0,40.0,2019-01-25
2019-01-26,0.0,0.0,0.0,24.0,35.0,2019-01-26
2019-01-27,0.0,0.0,0.0,32.0,49.0,2019-01-27
2019-01-28,0.0,0.0,0.0,25.0,38.0,2019-01-28
2019-01-29,0.23,0.0,0.0,25.0,43.0,2019-01-29
2019-01-30,0.01,0.4,0.0,6.0,35.0,2019-01-30
2019-01-31,0.0,0.0,0.0,2.0,16.0,2019-01-31
2019-02-01,0.0,0.0,0.0,11.0,21.0,2019-02-01
2019-02-02,0.0,0.0,0.0,16.0,34.0,2019-02-02
2019-02-03,0.0,0.0,0.0,33.0,53.0,2019-02-03
2019-02-04,0.0,0.0,0.0,41.0,61.0,2019-02-04
2019-02-05,0.0,0.0,0.0,44.0,65.0,2019-02-05
2019-02-06,0.45,0.0,0.0,35.0,46.0,2019-02-06
2019-02-07,0.07,0.0,0.0,39.0,44.0,2019-02-07
2019-02-08,0.37,0.0,0.0,32.0,55.0,2019-02-08
2019-02-09,0.0,0.0,0.0,23.0,32.0,2019-02-09
2019-02-10,0.0,0.0,0.0,23.0,35.0,2019-02-10
2019-02-11,0.0,0.0,0.0,30.0,38.0,2019-02-11
2019-02-12,0.75,1.2,0.0,26.0,36.0,2019-02-12
2019-02-13,0.08,0.0,1.2,33.0,41.0,2019-02-13
2019-02-14,0.0,0.0,0.0,33.0,46.0,2019-02-14
2019-02-15,0.0,0.0,0.0,42.0,59.0,2019-02-15
2019-02-16,0.0,0.0,0.0,32.0,47.0,2019-02-16
2019-02-17,0.04,0.0,0.0,26.0,38.0,2019-02-17
2019-02-18,0.09,0.0,0.0,26.0,42.0,2019-02-18
2019-02-19,0.0,0.0,0.0,23.0,36.0,2019-02-19
2019-02-20,0.57,1.3,0.0,26.0,33.0,2019-02-20
2019-02-21,0.1,0.0,1.2,33.0,52.0,2019-02-21
2019-02-22,0.0,0.0,0.0,36.0,44.0,2019-02-22
2019-02-23,0.01,0.0,0.0,32.0,42.0,2019-02-23
2019-02-24,0.58,0.0,0.0,36.0,47.0,2019-02-24
2019-02-25,0.0,0.0,0.0,28.0,43.0,2019-02-25
2019-02-26,0.0,0.0,0.0,25.0,36.0,2019-02-26
2019-02-27,0.0,0.0,0.0,23.0,31.0,2019-02-27
2019-02-28,0.03,0.1,0.0,27.0,37.0,2019-02-28
2019-03-01,0.11,1.4,1.2,26.0,35.0,2019-03-01
2019-03-02,0.53,4.0,3.9,31.0,41.0,2019-03-02
2019-03-03,0.52,3.0,1.2,33.0,42.0,2019-03-03
2019-03-04,0.29,2.0,3.9,28.0,38.0,2019-03-04
