lag_0,lag_1,lag_2,lag_3,lag_7,lag_14,lag_21,lag_28,lag_365,lag_366,rolling_7,rolling_30,tmin_fc,tmax_fc,tavg_fc,dew_point_fc,rh_mean_fc,rh_max_fc,prcp_fc,snow_fc,snwd_fc,solar_rad_fc,cloud_cover_fc,sunshine_hours_fc,hdd_fc,cdd_fc,tavg_3day_fc,cdd_3day_fc,hdd_3day_fc,is_weekend_next,is_holiday_next,daylight_hours_next,dow_0,dow_1,dow_2,dow_3,dow_4,dow_5,dow_6,doy_sin_1,doy_cos_1,doy_sin_2,doy_cos_2
135759,124168.0,131905.0,134843.0,131981.0,155134.0,143877.0,139469.0,136354.0,119601.0,127535.28571428572,134890.4,44.0,49.0,46.5,40.1,87.0,97.0,0.15,0.0,0.0,3.33,99.0,0.72,3.5,0.0,41.7,0.0,8.3,0.0,0.0,9.33,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.051584366869408364,0.9986686402879997,0.10303137904317879,0.9946781061893646
133483,135759.0,124168.0,131905.0,129502.0,150697.0,140211.0,138082.0,136364.0,136354.0,128075.0,134663.2,41.0,51.0,46.0,44.8,97.0,100.0,0.27,0.0,0.0,1.38,100.0,0.0,4.0,0.0,44.5,0.0,5.5,1.0,0.0,9.35,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.06875540848113941,0.9976335468520451,0.13718540405660057,0.9905453876091833
122924,133483.0,135759.0,124168.0,119817.0,137208.0,126146.0,129152.0,136034.0,136364.0,128643.71428571428,134407.23333333334,35.0,42.0,38.5,24.1,61.0,89.0,0.0,0.0,0.0,7.13,61.0,7.63,11.5,0.0,43.7,0.0,6.3,1.0,0.0,9.36,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.08590610426133272,0.9963032375991965,0.17117705961019986,0.985240282501282
123997,122924.0,133483.0,135759.0,120531.0,128731.0,124792.0,127945.0,124696.0,136034.0,129087.57142857143,133855.73333333334,32.0,45.0,38.5,26.2,66.0,83.0,0.04,0.2,0.0,7.14,51.0,7.41,11.5,0.0,41.0,0.0,9.0,0.0,0.0,9.38,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10303137904317879,0.9946781061893646,0.20496611396949532,0.9787690698649216
138154,123997.0,122924.0,133483.0,134843.0,134395.0,142334.0,136920.0,123149.0,124696.0,129582.71428571428,133386.23333333334,36.0,45.0,40.5,24.7,63.0,94.0,0.0,0.0,0.0,6.85,81.0,6.01,9.5,0.0,39.2,0.0,10.8,0.0,0.0,9.39,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1201261651823505,0.9927586335250793,0.23851257519407648,0.9711394088771653
136907,138154.0,123997.0,122924.0,131905.0,129477.0,145643.0,133868.0,142770.0,123149.0,130055.71428571428,133686.3,28.0,42.0,35.0,21.1,64.0,91.0,0.0,0.0,0.0,7.91,32.0,8.98,15.0,0.0,38.0,0.0,12.0,0.0,0.0,9.41,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.13718540405660057,0.9905453876091833,0.2717767384711357,0.9623603298276545
140076,136907.0,138154.0,123997.0,124168.0,119684.0,146073.0,140390.0,138751.0,142770.0,130770.28571428572,133985.03333333333,23.0,34.0,28.5,10.9,49.0,62.0,0.0,0.0,0.0,9.57,45.0,8.58,21.5,0.0,34.7,0.0,15.3,0.0,0.0,9.43,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1542040475626894,0.988039023376751,0.3047192331091634,0.9524422234305676
144582,140076.0,136907.0,138154.0,135759.0,131981.0,155134.0,143877.0,137410.0,138751.0,133042.85714285713,134090.23333333334,33.0,55.0,44.0,34.7,78.0,91.0,0.0,0.0,0.0,4.54,77.0,3.24,6.0,0.0,35.8,0.0,14.2,0.0,0.0,9.45,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.17117705961019986,0.985240282501282,0.3373010691361842,0.9413968285264122
137402,144582.0,140076.0,136907.0,133483.0,129502.0,150697.0,140211.0,143223.0,137410.0,134303.2857142857,134447.36666666667,51.0,69.0,60.0,50.3,79.0,92.0,0.0,0.0,0.0,7.32,93.0,6.46,0.0,0.0,44.2,0.0,9.2,1.0,0.0,9.47,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.18809941761179758,0.9821499931752291,0.3694836834473831,0.9292372181882051
119972,137402.0,144582.0,140076.0,122924.0,119817.0,137208.0,126146.0,147813.0,143223.0,134863.14285714287,134347.76666666666,43.0,68.0,55.5,48.5,71.0,91.0,0.05,0.0,0.0,8.59,58.0,8.0,0.0,0.0,53.2,0.0,2.0,1.0,0.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.20496611396949532,0.9787690698649216,0.4012289854475009,0.9159777842484877
116201,119972.0,137402.0,144582.0,123997.0,120531.0,128731.0,124792.0,137066.0,147813.0,134441.42857142858,133550.93333333332,37.0,46.0,41.5,35.3,81.0,97.0,0.0,0.0,0.0,2.82,98.0,0.46,8.5,0.0,52.3,0.0,2.8,0.0,0.0,9.52,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22177215755648186,0.975098513039961,0.4324994021339788,0.901634220265486
132956,116201.0,119972.0,137402.0,138154.0,134843.0,134395.0,142334.0,134196.0,137066.0,133327.7142857143,132750.6,39.0,46.0,42.5,36.8,91.0,100.0,0.07,0.0,0.0,3.19,100.0,0.32,7.5,0.0,46.5,0.0,5.3,0.0,0.0,9.54,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.23851257519407648,0.9711394088771653,0.4632579225674917,0.88622350294858
134513,132956.0,116201.0,119972.0,136907.0,131905.0,129477.0,145643.0,148361.0,134196.0,132585.14285714287,132977.6,41.0,50.0,45.5,36.3,81.0,98.0,0.0,0.0,0.0,8.2,45.0,8.37,4.5,0.0,43.2,0.0,6.8,0.0,0.0,9.57,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2551824131233728,0.9668929289391521,0.49346814167723735,0.8697638720650646
