lag_0,lag_1,lag_2,lag_3,lag_7,lag_14,lag_21,lag_28,lag_365,lag_366,rolling_7,rolling_30,tmin_fc,tmax_fc,tavg_fc,dew_point_fc,rh_mean_fc,prcp_fc,snow_fc,snwd_fc,solar_rad_fc,cloud_cover_fc,hdd_fc,cdd_fc,tavg_3day_fc,cdd_3day_fc,hdd_3day_fc,is_weekend_next,is_holiday_next,daylight_hours_next
135759,124168.0,131905.0,134843.0,131981.0,155134.0,143877.0,139469.0,136354.0,119601.0,127535.3,134890.4,44.0,49.0,46.5,40.1,87.0,0.15,0.0,0.0,3.33,99.0,3.5,0.0,41.7,0.0,8.3,0.0,0.0,9.33
133483,135759.0,124168.0,131905.0,129502.0,150697.0,140211.0,138082.0,136364.0,136354.0,128075.0,134663.2,41.0,51.0,46.0,44.8,97.0,0.27,0.0,0.0,1.38,100.0,4.0,0.0,44.5,0.0,5.5,1.0,0.0,9.35
122924,133483.0,135759.0,124168.0,119817.0,137208.0,126146.0,129152.0,136034.0,136364.0,128643.7,134407.2,35.0,42.0,38.5,24.1,61.0,0.0,0.0,0.0,7.13,61.0,11.5,0.0,43.7,0.0,6.3,1.0,0.0,9.36
123997,122924.0,133483.0,135759.0,120531.0,128731.0,124792.0,127945.0,124696.0,136034.0,129087.6,133855.7,32.0,45.0,38.5,26.2,66.0,0.04,0.2,0.0,7.14,51.0,11.5,0.0,41.0,0.0,9.0,0.0,0.0,9.38
138154,123997.0,122924.0,133483.0,134843.0,134395.0,142334.0,136920.0,123149.0,124696.0,129582.7,133386.2,36.0,45.0,40.5,24.7,63.0,0.0,0.0,0.0,6.85,81.0,9.5,0.0,39.2,0.0,10.8,0.0,0.0,9.39
136907,138154.0,123997.0,122924.0,131905.0,129477.0,145643.0,133868.0,142770.0,123149.0,130055.7,133686.3,28.0,42.0,35.0,21.1,64.0,0.0,0.0,0.0,7.91,32.0,15.0,0.0,38.0,0.0,12.0,0.0,0.0,9.41
140076,136907.0,138154.0,123997.0,124168.0,119684.0,146073.0,140390.0,138751.0,142770.0,130770.3,133985.0,23.0,34.0,28.5,10.9,49.0,0.0,0.0,0.0,9.57,45.0,21.5,0.0,34.7,0.0,15.3,0.0,0.0,9.43
144582,140076.0,136907.0,138154.0,135759.0,131981.0,155134.0,143877.0,137410.0,138751.0,133042.9,134090.2,33.0,55.0,44.0,34.7,78.0,0.0,0.0,0.0,4.54,77.0,6.0,0.0,35.8,0.0,14.2,0.0,0.0,9.45
137402,144582.0,140076.0,136907.0,133483.0,129502.0,150697.0,140211.0,143223.0,137410.0,134303.3,134447.4,51.0,69.0,60.0,50.3,79.0,0.0,0.0,0.0,7.32,93.0,0.0,0.0,44.2,0.0,9.2,1.0,0.0,9.47
119972,137402.0,144582.0,140076.0,122924.0,119817.0,137208.0,126146.0,147813.0,143223.0,134863.1,134347.8,43.0,68.0,55.5,48.5,71.0,0.05,0.0,0.0,8.59,58.0,0.0,0.0,53.2,0.0,2.0,1.0,0.0,9.5
116201,119972.0,137402.0,144582.0,123997.0,120531.0,128731.0,124792.0,137066.0,147813.0,134441.4,133550.9,37.0,46.0,41.5,35.3,81.0,0.0,0.0,0.0,2.82,98.0,8.5,0.0,52.3,0.0,2.8,0.0,0.0,9.52
132956,116201.0,119972.0,137402.0,138154.0,134843.0,134395.0,142334.0,134196.0,137066.0,133327.7,132750.6,39.0,46.0,42.5,36.8,91.0,0.07,0.0,0.0,3.19,100.0,7.5,0.0,46.5,0.0,5.3,0.0,0.0,9.54
134513,132956.0,116201.0,119972.0,136907.0,131905.0,129477.0,145643.0,148361.0,134196.0,132585.1,132977.6,41.0,50.0,45.5,36.3,81.0,0.0,0.0,0.0,8.2,45.0,4.5,0.0,43.2,0.0,6.8,0.0,0.0,9.57
132082,134513.0,132956.0,116201.0,140076.0,124168.0,119684.0,146073.0,146343.0,148361.0,132243.1,133301.6,33.0,49.0,41.0,31.5,69.0,0.11,0.0,0.0,7.83,49.0,9.0,0.0,43.0,0.0,7.0,0.0,0.0,9.59
134558,132082.0,134513.0,132956.0,144582.0,135759.0,131981.0,155134.0,144923.0,146343.0,131101.1,132959.9,21.0,33.0,27.0,5.9,42.0,0.0,0.0,0.0,10.5,30.0,23.0,0.0,37.8,0.0,12.2,0.0,0.0,9.62
144695,134558.0,132082.0,134513.0,137402.0,133483.0,129502.0,150697.0,145991.0,144923.0,129669.1,132590.4,20.0,37.0,28.5,11.7,57.0,0.37,2.1,0.0,3.08,100.0,21.5,0.0,32.2,0.0,17.8,1.0,0.0,9.64
137365,144695.0,134558.0,132082.0,119972.0,122924.0,119817.0,137208.0,143529.0,145991.0,130711.0,132544.5,27.0,43.0,35.0,26.4,69.0,0.0,0.0,1.2,6.79,65.0,15.0,0.0,30.2,0.0,19.8,1.0,0.0,9.67
126410,137365.0,144695.0,134558.0,116201.0,123997.0,120531.0,128731.0,132279.0,143529.0,133195.7,131952.2,20.0,31.0,25.5,6.2,45.0,0.0,0.0,0.0,10.89,11.0,24.5,0.0,29.7,0.0,20.3,0.0,1.0,9.7
142280,126410.0,137365.0,144695.0,132956.0,138154.0,134843.0,134395.0,133912.0,132279.0,134654.1,131142.6,20.0,33.0,26.5,8.0,49.0,0.0,0.0,0.0,10.5,18.0,23.5,0.0,29.0,0.0,21.0,0.0,0.0,9.73
148015,142280.0,126410.0,137365.0,134513.0,136907.0,131905.0,129477.0,159311.0,133912.0,135986.1,131311.7,25.0,38.0,31.5,16.5,65.0,0.0,0.0,0.0,10.73,6.0,18.5,0.0,27.8,0.0,22.2,0.0,0.0,9.76
143862,148015.0,142280.0,126410.0,132082.0,140076.0,124168.0,119684.0,159198.0,159311.0,137915.0,131954.5,33.0,47.0,40.0,18.5,62.0,0.0,0.0,0.0,8.04,87.0,10.0,0.0,32.7,0.0,17.3,0.0,0.0,9.79
139314,143862.0,148015.0,142280.0,134558.0,144582.0,135759.0,131981.0,148575.0,159198.0,139597.9,132270.0,37.0,51.0,44.0,27.0,69.0,0.0,0.0,0.0,10.61,55.0,6.0,0.0,38.5,0.0,11.5,0.0,0.0,9.83
135154,139314.0,143862.0,148015.0,144695.0,137402.0,133483.0,129502.0,139935.0,148575.0,140277.3,132597.9,38.0,51.0,44.5,39.3,93.0,0.85,0.0,0.0,0.94,82.0,5.5,0.0,42.8,0.0,7.2,1.0,0.0,9.86
126400,135154.0,139314.0,143862.0,137365.0,119972.0,122924.0,119817.0,141638.0,139935.0,138914.3,133113.6,38.0,46.0,42.0,31.4,75.0,0.0,0.0,0.0,7.73,33.0,8.0,0.0,43.5,0.0,6.5,1.0,0.0,9.89
122177,126400.0,135154.0,139314.0,126410.0,116201.0,123997.0,120531.0,134276.0,141638.0,137347.9,132927.6,37.0,45.0,41.0,27.7,67.0,0.0,0.0,0.0,5.6,56.0,9.0,0.0,42.5,0.0,7.5,0.0,0.0,9.93
136627,122177.0,126400.0,135154.0,142280.0,132956.0,138154.0,134843.0,127404.0,134276.0,136743.1,132683.4,37.0,43.0,40.0,25.4,63.0,0.0,0.0,0.0,6.11,71.0,10.0,0.0,41.0,0.0,9.0,0.0,0.0,9.96
136552,136627.0,122177.0,126400.0,148015.0,134513.0,136907.0,131905.0,145347.0,127404.0,135935.6,133243.7,31.0,41.0,36.0,19.7,59.0,0.0,0.0,0.0,11.55,22.0,14.0,0.0,39.0,0.0,11.0,0.0,0.0,10.0
138459,136552.0,136627.0,122177.0,143862.0,132082.0,140076.0,124168.0,146703.0,145347.0,134298.0,133777.8,25.0,38.0,31.5,18.4,67.0,0.0,0.0,0.0,10.61,51.0,18.5,0.0,35.8,0.0,14.2,0.0,0.0,10.03
140924,138459.0,136552.0,136627.0,139314.0,134558.0,144582.0,135759.0,153858.0,146703.0,133526.1,133898.3,33.0,44.0,38.5,30.8,83.0,0.02,0.0,0.0,5.77,82.0,11.5,0.0,35.3,0.0,14.7,0.0,0.0,10.07
137659,140924.0,138459.0,136552.0,135154.0,144695.0,137402.0,133483.0,166578.0,153858.0,133756.1,134198.9,37.0,43.0,40.0,34.8,94.0,0.0,0.0,0.0,3.43,86.0,10.0,0.0,36.7,0.0,13.3,1.0,0.0,10.1
125498,137659.0,140924.0,138459.0,126400.0,137365.0,119972.0,122924.0,163256.0,166578.0,134114.0,134648.6,35.0,45.0,40.0,31.8,84.0,0.07,0.0,0.0,6.28,90.0,10.0,0.0,39.5,0.0,10.5,1.0,0.0,10.14
122930,125498.0,137659.0,140924.0,122177.0,126410.0,116201.0,123997.0,145804.0,163256.0,133985.1,134306.6,37.0,57.0,47.0,34.6,77.0,0.0,0.0,0.0,11.33,43.0,3.0,0.0,42.3,0.0,7.7,0.0,0.0,10.18
133021,122930.0,125498.0,137659.0,136627.0,142280.0,132956.0,138154.0,131390.0,145804.0,134092.7,133954.8,43.0,61.0,52.0,42.2,90.0,0.0,0.0,0.0,4.53,96.0,0.0,0.0,46.3,0.0,4.3,0.0,0.0,10.21
132023,133021.0,122930.0,125498.0,136552.0,148015.0,134513.0,136907.0,137369.0,131390.0,133577.6,134291.4,39.0,55.0,47.0,30.8,70.0,0.0,0.0,0.0,3.42,100.0,3.0,0.0,48.7,0.0,2.0,0.0,0.0,10.25
133837,132023.0,133021.0,122930.0,138459.0,143862.0,132082.0,140076.0,132731.0,137369.0,132930.6,134558.9,35.0,41.0,38.0,37.1,92.0,0.51,0.0,0.0,2.64,100.0,12.0,0.0,45.7,0.0,5.0,0.0,0.0,10.29
136492,133837.0,132023.0,133021.0,140924.0,139314.0,134558.0,144582.0,134941.0,132731.0,132270.3,134415.0,33.0,56.0,44.5,34.1,80.0,0.25,0.0,0.0,5.57,91.0,5.5,0.0,43.2,0.0,6.8,0.0,0.0,10.33
135744,136492.0,133837.0,132023.0,137659.0,135154.0,144695.0,137402.0,137591.0,134941.0,131637.1,134401.2,30.0,41.0,35.5,17.6,53.0,0.0,0.0,0.0,9.73,39.0,14.5,0.0,39.3,0.0,10.7,1.0,0.0,10.37
127588,135744.0,136492.0,133837.0,125498.0,126400.0,137365.0,119972.0,136194.0,137591.0,131363.6,134256.8,31.0,44.0,37.5,28.5,81.0,0.0,0.0,0.0,8.13,72.0,12.5,0.0,39.2,0.0,10.8,1.0,0.0,10.41
124149,127588.0,135744.0,136492.0,122930.0,122177.0,126410.0,116201.0,133854.0,136194.0,131662.1,133690.3,42.0,47.0,44.5,38.1,87.0,0.37,0.0,0.0,2.45,100.0,5.5,0.0,39.2,0.0,10.8,0.0,0.0,10.45
