feature,gain_importance
tavg_fc,3048916344222.0
cdd_3day_fc,2613411804662.0
lag_0,1866110903528.0
tavg_3day_fc,1803363422038.0
tmin_fc,1569828396576.0
is_weekend_next,576077852600.0
dew_point_fc,535875134066.0
cdd_fc,463510449836.0
rolling_7,333770103484.0
tmax_fc,124480623032.0
rolling_30,55487641115.0
lag_1,42571043884.0
daylight_hours_next,30204854956.0
is_holiday_next,30096951244.0
lag_3,25978007892.0
hdd_fc,19899258730.0
lag_7,19146907500.0
solar_rad_fc,18963187382.0
rh_mean_fc,18615729666.0
lag_28,15310248721.0
lag_365,14063628493.0
prcp_fc,13108240466.0
lag_366,12374700432.0
lag_21,12026455860.0
lag_2,11675092752.0
lag_14,10258040098.0
cloud_cover_fc,8899790738.0
hdd_3day_fc,3850636894.0
snwd_fc,1380184240.0
snow_fc,64877350.0
