prcp,tmin,tmax,rh_mean,rh_max,dew_point,solar_rad,cloud_cover,daylight_hours,sunshine_hours,is_weekend,is_holiday,day_of_week,tavg,hdd,cdd,tavg_3day,cdd_3day,hdd_3day,tavg_lag1,lag_0,lag_1,lag_2,lag_3,lag_7,lag_14,lag_21,lag_28,lag_365,lag_366,rolling_7,rolling_30
0.0,33.0,49.0,69,81,27.0,8.24,45,9.32,7.55,0,0,3,41.0,9.0,0.0,39.7,0.0,10.3,37.5,135759,124168.0,131905.0,134843.0,131981.0,155134.0,143877.0,139469.0,136354.0,119601.0,127535.3,134890.4
0.15,44.0,49.0,87,97,40.1,3.33,99,9.33,0.72,0,0,4,46.5,3.5,0.0,41.7,0.0,8.3,41.0,133483,135759.0,124168.0,131905.0,129502.0,150697.0,140211.0,138082.0,136364.0,136354.0,128075.0,134663.2
0.27,41.0,51.0,97,100,44.8,1.38,100,9.35,0.0,1,0,5,46.0,4.0,0.0,44.5,0.0,5.5,46.5,122924,133483.0,135759.0,124168.0,119817.0,137208.0,126146.0,129152.0,136034.0,136364.0,128643.7,134407.2
0.0,35.0,42.0,61,89,24.1,7.13,61,9.36,7.63,1,0,6,38.5,11.5,0.0,43.7,0.0,6.3,46.0,123997,122924.0,133483.0,135759.0,120531.0,128731.0,124792.0,127945.0,124696.0,136034.0,129087.6,133855.7
0.04,32.0,45.0,66,83,26.2,7.14,51,9.38,7.41,0,0,0,38.5,11.5,0.0,41.0,0.0,9.0,38.5,138154,123997.0,122924.0,133483.0,134843.0,134395.0,142334.0,136920.0,123149.0,124696.0,129582.7,133386.2
0.0,36.0,45.0,63,94,24.7,6.85,81,9.39,6.01,0,0,1,40.5,9.5,0.0,39.2,0.0,10.8,38.5,136907,138154.0,123997.0,122924.0,131905.0,129477.0,145643.0,133868.0,142770.0,123149.0,130055.7,133686.3
0.0,28.0,42.0,64,91,21.1,7.91,32,9.41,8.98,0,0,2,35.0,15.0,0.0,38.0,0.0,12.0,40.5,140076,136907.0,138154.0,123997.0,124168.0,119684.0,146073.0,140390.0,138751.0,142770.0,130770.3,133985.0
0.0,23.0,34.0,49,62,10.9,9.57,45,9.43,8.58,0,0,3,28.5,21.5,0.0,34.7,0.0,15.3,35.0,144582,140076.0,136907.0,138154.0,135759.0,131981.0,155134.0,143877.0,137410.0,138751.0,133042.9,134090.2
0.0,33.0,55.0,78,91,34.7,4.54,77,9.45,3.24,0,0,4,44.0,6.0,0.0,35.8,0.0,14.2,28.5,137402,144582.0,140076.0,136907.0,133483.0,129502.0,150697.0,140211.0,143223.0,137410.0,134303.3,134447.4
0.0,51.0,69.0,79,92,50.3,7.32,93,9.47,6.46,1,0,5,60.0,0.0,0.0,44.2,0.0,9.2,44.0,119972,137402.0,144582.0,140076.0,122924.0,119817.0,137208.0,126146.0,147813.0,143223.0,134863.1,134347.8
0.05,43.0,68.0,71,91,48.5,8.59,58,9.5,8.0,1,0,6,55.5,0.0,0.0,53.2,0.0,2.0,60.0,116201,119972.0,137402.0,144582.0,123997.0,120531.0,128731.0,124792.0,137066.0,147813.0,134441.4,133550.9
0.0,37.0,46.0,81,97,35.3,2.82,98,9.52,0.46,0,0,0,41.5,8.5,0.0,52.3,0.0,2.8,55.5,132956,116201.0,119972.0,137402.0,138154.0,134843.0,134395.0,142334.0,134196.0,137066.0,133327.7,132750.6
0.07,39.0,46.0,91,100,36.8,3.19,100,9.54,0.32,0,0,1,42.5,7.5,0.0,46.5,0.0,5.3,41.5,134513,132956.0,116201.0,119972.0,136907.0,131905.0,129477.0,145643.0,148361.0,134196.0,132585.1,132977.6
0.0,41.0,50.0,81,98,36.3,8.2,45,9.57,8.37,0,0,2,45.5,4.5,0.0,43.2,0.0,6.8,42.5,132082,134513.0,132956.0,116201.0,140076.0,124168.0,119684.0,146073.0,146343.0,148361.0,132243.1,133301.6
