lag_0,lag_1,lag_2,lag_3,lag_7,lag_14,lag_21,lag_28,lag_365,lag_366,rolling_7,rolling_30,hdd_fc,cdd_fc,dew_point_fc,solar_rad_fc
135759,124168.0,131905.0,134843.0,131981.0,155134.0,143877.0,139469.0,136354.0,119601.0,127535.28571428572,134890.4,3.5,0.0,40.1,3.33
133483,135759.0,124168.0,131905.0,129502.0,150697.0,140211.0,138082.0,136364.0,136354.0,128075.0,134663.2,4.0,0.0,44.8,1.38
122924,133483.0,135759.0,124168.0,119817.0,137208.0,126146.0,129152.0,136034.0,136364.0,128643.71428571428,134407.23333333334,11.5,0.0,24.1,7.13
123997,122924.0,133483.0,135759.0,120531.0,128731.0,124792.0,127945.0,124696.0,136034.0,129087.57142857143,133855.73333333334,11.5,0.0,26.2,7.14
138154,123997.0,122924.0,133483.0,134843.0,134395.0,142334.0,136920.0,123149.0,124696.0,129582.71428571428,133386.23333333334,9.5,0.0,24.7,6.85
136907,138154.0,123997.0,122924.0,131905.0,129477.0,145643.0,133868.0,142770.0,123149.0,130055.71428571428,133686.3,15.0,0.0,21.1,7.91
140076,136907.0,138154.0,123997.0,124168.0,119684.0,146073.0,140390.0,138751.0,142770.0,130770.28571428572,133985.03333333333,21.5,0.0,10.9,9.57
144582,140076.0,136907.0,138154.0,135759.0,131981.0,155134.0,143877.0,137410.0,138751.0,133042.85714285713,134090.23333333334,6.0,0.0,34.7,4.54
137402,144582.0,140076.0,136907.0,133483.0,129502.0,150697.0,140211.0,143223.0,137410.0,134303.2857142857,134447.36666666667,0.0,0.0,50.3,7.32
119972,137402.0,144582.0,140076.0,122924.0,119817.0,137208.0,126146.0,147813.0,143223.0,134863.14285714287,134347.76666666666,0.0,0.0,48.5,8.59
116201,119972.0,137402.0,144582.0,123997.0,120531.0,128731.0,124792.0,137066.0,147813.0,134441.42857142858,133550.93333333332,8.5,0.0,35.3,2.82
132956,116201.0,119972.0,137402.0,138154.0,134843.0,134395.0,142334.0,134196.0,137066.0,133327.7142857143,132750.6,7.5,0.0,36.8,3.19
134513,132956.0,116201.0,119972.0,136907.0,131905.0,129477.0,145643.0,148361.0,134196.0,132585.14285714287,132977.6,4.5,0.0,36.3,8.2
132082,134513.0,132956.0,116201.0,140076.0,124168.0,119684.0,146073.0,146343.0,148361.0,132243.14285714287,133301.63333333333,9.0,0.0,31.5,7.83
134558,132082.0,134513.0,132956.0,144582.0,135759.0,131981.0,155134.0,144923.0,146343.0,131101.14285714287,132959.9,23.0,0.0,5.9,10.5
144695,134558.0,132082.0,134513.0,137402.0,133483.0,129502.0,150697.0,145991.0,144923.0,129669.14285714286,132590.4,21.5,0.0,11.7,3.08
137365,144695.0,134558.0,132082.0,119972.0,122924.0,119817.0,137208.0,143529.0,145991.0,130711.0,132544.46666666667,15.0,0.0,26.4,6.79
126410,137365.0,144695.0,134558.0,116201.0,123997.0,120531.0,128731.0,132279.0,143529.0,133195.7142857143,131952.16666666666,24.5,0.0,6.2,10.89
142280,126410.0,137365.0,144695.0,132956.0,138154.0,134843.0,134395.0,133912.0,132279.0,134654.14285714287,131142.6,23.5,0.0,8.0,10.5
148015,142280.0,126410.0,137365.0,134513.0,136907.0,131905.0,129477.0,159311.0,133912.0,135986.14285714287,131311.66666666666,18.5,0.0,16.5,10.73
143862,148015.0,142280.0,126410.0,132082.0,140076.0,124168.0,119684.0,159198.0,159311.0,137915.0,131954.46666666667,10.0,0.0,18.5,8.04
139314,143862.0,148015.0,142280.0,134558.0,144582.0,135759.0,131981.0,148575.0,159198.0,139597.85714285713,132270.03333333333,6.0,0.0,27.0,10.61
135154,139314.0,143862.0,148015.0,144695.0,137402.0,133483.0,129502.0,139935.0,148575.0,140277.2857142857,132597.93333333332,5.5,0.0,39.3,0.94
126400,135154.0,139314.0,143862.0,137365.0,119972.0,122924.0,119817.0,141638.0,139935.0,138914.2857142857,133113.6,8.0,0.0,31.4,7.73
122177,126400.0,135154.0,139314.0,126410.0,116201.0,123997.0,120531.0,134276.0,141638.0,137347.85714285713,132927.56666666668,9.0,0.0,27.7,5.6
136627,122177.0,126400.0,135154.0,142280.0,132956.0,138154.0,134843.0,127404.0,134276.0,136743.14285714287,132683.4,10.0,0.0,25.4,6.11
136552,136627.0,122177.0,126400.0,148015.0,134513.0,136907.0,131905.0,145347.0,127404.0,135935.57142857142,133243.73333333334,14.0,0.0,19.7,11.55
138459,136552.0,136627.0,122177.0,143862.0,132082.0,140076.0,124168.0,146703.0,145347.0,134298.0,133777.76666666666,18.5,0.0,18.4,10.61
140924,138459.0,136552.0,136627.0,139314.0,134558.0,144582.0,135759.0,153858.0,146703.0,133526.14285714287,133898.3,11.5,0.0,30.8,5.77
137659,140924.0,138459.0,136552.0,135154.0,144695.0,137402.0,133483.0,166578.0,153858.0,133756.14285714287,134198.93333333332,10.0,0.0,34.8,3.43
125498,137659.0,140924.0,138459.0,126400.0,137365.0,119972.0,122924.0,163256.0,166578.0,134114.0,134648.63333333333,10.0,0.0,31.8,6.28
122930,125498.0,137659.0,140924.0,122177.0,126410.0,116201.0,123997.0,145804.0,163256.0,133985.14285714287,134306.6,3.0,0.0,34.6,11.33
133021,122930.0,125498.0,137659.0,136627.0,142280.0,132956.0,138154.0,131390.0,145804.0,134092.7142857143,133954.83333333334,0.0,0.0,42.2,4.53
132023,133021.0,122930.0,125498.0,136552.0,148015.0,134513.0,136907.0,137369.0,131390.0,133577.57142857142,134291.4,3.0,0.0,30.8,3.42
133837,132023.0,133021.0,122930.0,138459.0,143862.0,132082.0,140076.0,132731.0,137369.0,132930.57142857142,134558.93333333332,12.0,0.0,37.1,2.64
136492,133837.0,132023.0,133021.0,140924.0,139314.0,134558.0,144582.0,134941.0,132731.0,132270.2857142857,134415.03333333333,5.5,0.0,34.1,5.57
135744,136492.0,133837.0,132023.0,137659.0,135154.0,144695.0,137402.0,137591.0,134941.0,131637.14285714287,134401.2,14.5,0.0,17.6,9.73
127588,135744.0,136492.0,133837.0,125498.0,126400.0,137365.0,119972.0,136194.0,137591.0,131363.57142857142,134256.8,12.5,0.0,28.5,8.13
124149,127588.0,135744.0,136492.0,122930.0,122177.0,126410.0,116201.0,133854.0,136194.0,131662.14285714287,133690.33333333334,5.5,0.0,38.1,2.45
135691,124149.0,127588.0,135744.0,133021.0,136627.0,142280.0,132956.0,132123.0,133854.0,131836.2857142857,133248.56666666668,4.5,0.0,42.0,2.4
133740,135691.0,124149.0,127588.0,132023.0,136552.0,148015.0,134513.0,143162.0,132123.0,132217.7142857143,133772.53333333333,8.5,0.0,27.3,11.29
133541,133740.0,135691.0,124149.0,133837.0,138459.0,143862.0,132082.0,147267.0,143162.0,132463.0,134357.16666666666,9.5,0.0,37.0,1.74
136077,133541.0,133740.0,135691.0,136492.0,140924.0,139314.0,134558.0,141368.0,147267.0,132420.7142857143,134376.66666666666,21.0,0.0,12.7,14.48
139289,136077.0,133541.0,133740.0,135744.0,137659.0,135154.0,144695.0,139781.0,141368.0,132361.42857142858,134428.8,27.5,0.0,6.3,14.59
134595,139289.0,136077.0,133541.0,127588.0,125498.0,126400.0,137365.0,134017.0,139781.0,132867.85714285713,134669.03333333333,13.0,0.0,23.8,8.2
126028,134595.0,139289.0,136077.0,124149.0,122930.0,122177.0,126410.0,122681.0,134017.0,133868.85714285713,134670.26666666666,5.5,0.0,27.6,14.32
125814,126028.0,134595.0,139289.0,135691.0,133021.0,136627.0,142280.0,124444.0,122681.0,134137.2857142857,134048.03333333333,7.5,0.0,35.2,2.84
134632,125814.0,126028.0,134595.0,133740.0,132023.0,136552.0,148015.0,132375.0,124444.0,132726.2857142857,133663.0,10.0,0.0,26.8,14.95
131988,134632.0,125814.0,126028.0,133541.0,133837.0,138459.0,143862.0,143375.0,132375.0,132853.7142857143,133937.06666666668,19.5,0.0,15.0,12.39
138646,131988.0,134632.0,125814.0,136077.0,136492.0,140924.0,139314.0,146783.0,143375.0,132631.85714285713,133594.0,22.5,0.0,8.3,15.92
141414,138646.0,131988.0,134632.0,139289.0,135744.0,137659.0,135154.0,137778.0,146783.0,132998.85714285713,133281.7,10.0,0.0,15.7,16.04
125920,141414.0,138646.0,131988.0,134595.0,127588.0,125498.0,126400.0,134984.0,137778.0,133302.42857142858,133200.1,2.5,0.0,20.3,16.1
119214,125920.0,141414.0,138646.0,126028.0,124149.0,122930.0,122177.0,125888.0,134984.0,132063.14285714287,132753.63333333333,0.0,0.0,29.3,15.17
129724,119214.0,125920.0,141414.0,125814.0,135691.0,133021.0,136627.0,123497.0,125888.0,131089.7142857143,132222.3,0.5,0.0,40.6,4.77
130168,129724.0,119214.0,125920.0,134632.0,133740.0,132023.0,136552.0,139220.0,123497.0,131648.2857142857,132333.1,4.5,0.0,42.7,3.83
131364,130168.0,129724.0,119214.0,131988.0,133541.0,133837.0,138459.0,143977.0,139220.0,131010.57142857143,132599.46666666667,13.0,0.0,26.6,14.26
133929,131364.0,130168.0,129724.0,138646.0,136077.0,136492.0,140924.0,146740.0,143977.0,130921.42857142857,132424.03333333333,14.5,0.0,11.6,16.15
138016,133929.0,131364.0,130168.0,141414.0,139289.0,135744.0,137659.0,143568.0,146740.0,130247.57142857143,132336.6,20.0,0.0,10.3,14.63
129490,138016.0,133929.0,131364.0,125920.0,134595.0,127588.0,125498.0,144308.0,143568.0,129762.14285714286,132321.83333333334,15.5,0.0,15.2,17.07
126062,129490.0,138016.0,133929.0,119214.0,126028.0,124149.0,122930.0,131932.0,144308.0,130272.14285714286,131940.7,1.0,0.0,31.2,16.31
131611,126062.0,129490.0,138016.0,129724.0,125814.0,135691.0,133021.0,127285.0,131932.0,131250.42857142858,131554.13333333333,0.0,0.0,45.2,10.17
128988,131611.0,126062.0,129490.0,130168.0,134632.0,133740.0,132023.0,141496.0,127285.0,131520.0,131757.9,0.0,0.0,31.4,16.91
128251,128988.0,131611.0,126062.0,131364.0,131988.0,133541.0,133837.0,145819.0,141496.0,131351.42857142858,131959.83333333334,5.0,0.0,28.5,17.93
129517,128251.0,128988.0,131611.0,133929.0,138646.0,136077.0,136492.0,151133.0,145819.0,130906.71428571428,131800.83333333334,9.0,0.0,35.3,6.23
132096,129517.0,128251.0,128988.0,138016.0,141414.0,139289.0,135744.0,150928.0,151133.0,130276.42857142857,131717.3,8.0,0.0,21.0,18.24
122125,132096.0,129517.0,128251.0,129490.0,125920.0,134595.0,127588.0,144237.0,150928.0,129430.71428571428,131659.26666666666,3.0,0.0,21.8,17.78
113235,122125.0,132096.0,129517.0,126062.0,119214.0,126028.0,124149.0,127330.0,144237.0,128378.57142857143,131180.36666666667,0.0,0.0,31.0,18.53
126959,113235.0,122125.0,132096.0,131611.0,129724.0,125814.0,135691.0,122703.0,127330.0,126546.14285714286,130430.06666666668,0.0,0.0,43.1,5.75
125748,126959.0,113235.0,122125.0,128988.0,130168.0,134632.0,133740.0,134548.0,122703.0,125881.57142857143,130409.1,0.0,0.0,34.7,15.35
124617,125748.0,126959.0,113235.0,128251.0,131364.0,131988.0,133541.0,137516.0,134548.0,125418.71428571428,130462.4,3.5,0.0,35.9,6.4
128016,124617.0,125748.0,126959.0,129517.0,133929.0,138646.0,136077.0,137522.0,137516.0,124899.57142857143,130093.26666666666,0.0,0.0,43.0,10.23
126067,128016.0,124617.0,125748.0,132096.0,138016.0,141414.0,139289.0,132981.0,137522.0,124685.14285714286,129902.46666666666,0.0,0.0,25.6,18.91
114037,126067.0,128016.0,124617.0,122125.0,129490.0,125920.0,134595.0,130524.0,132981.0,123823.85714285714,129653.33333333331,3.0,0.0,26.4,19.45
112339,114037.0,126067.0,128016.0,113235.0,126062.0,119214.0,126028.0,118295.0,130524.0,122668.42857142857,128918.66666666669,11.0,0.0,22.7,17.67
125963,112339.0,114037.0,126067.0,126959.0,131611.0,129724.0,125814.0,120153.0,118295.0,122540.42857142857,128020.33333333331,2.5,0.0,38.7,8.64
123622,125963.0,112339.0,114037.0,125748.0,128988.0,130168.0,134632.0,134932.0,120153.0,122398.14285714286,127732.6,2.5,0.0,31.8,18.87
120106,123622.0,125963.0,112339.0,124617.0,128251.0,131364.0,131988.0,133841.0,134932.0,122094.42857142857,127652.4,3.5,0.0,41.9,9.62
121029,120106.0,123622.0,125963.0,128016.0,129517.0,133929.0,138646.0,132471.0,133841.0,121450.0,127462.13333333332,0.0,0.0,51.1,9.24
117898,121029.0,120106.0,123622.0,126067.0,132096.0,138016.0,141414.0,133776.0,132471.0,120451.85714285714,127008.7,0.0,0.0,26.0,19.46
108006,117898.0,121029.0,120106.0,114037.0,122125.0,129490.0,125920.0,133807.0,133776.0,119284.85714285714,126539.03333333334,11.0,0.0,19.7,14.98
110110,108006.0,117898.0,121029.0,112339.0,113235.0,126062.0,119214.0,123832.0,133807.0,118423.28571428572,125517.7,11.5,0.0,32.5,2.27
122419,110110.0,108006.0,117898.0,125963.0,126959.0,131611.0,129724.0,117964.0,123832.0,118104.85714285714,124474.23333333334,4.5,0.0,33.5,20.01
115575,122419.0,110110.0,108006.0,123622.0,125748.0,128988.0,130168.0,129783.0,117964.0,117598.57142857143,124357.53333333334,7.5,0.0,34.3,5.83
