mode_name, mae, rmse, mape, bias
persistence (lag_0),7394,10455,5.3,56.2
persistence (lag_7),12990,19474,9.11,502.5
persistence (lag_28),18131,25943,12.66,500.2
ridge (alpha=0),6189,8453,4.41,68.2
ridge (alpha=0.83),6195,8457,4.42,67.3
RF,6655,9515,4.69,-450.4
"RF (RandomForestRegressor(max_depth=20, min_samples_leaf=5, n_estimators=500,
                      n_jobs=-1, random_state=42))",6655,9515,4.69,-450.4
XGBoost,6574,9560,4.6,-678.2
XGBoost with early stopping,6555,9543,4.58,-730.8
XGBoost with GridSearchCSV,6440,9116,4.56,-351.3
"XGB randomized_search_cv (XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=1.0, device=None, early_stopping_rounds=None,
             enable_categorical=True, eval_metric=None, feature_types=None,
             feature_weights=None, gamma=0.1, grow_policy=None,
             importance_type=None, interaction_constraints=None,
             learning_rate=0.03, max_bin=None, max_cat_threshold=None,
             max_cat_to_onehot=None, max_delta_step=None, max_depth=4,
             max_leaves=None, min_child_weight=1, missing=nan,
             monotone_constraints=None, multi_strategy=None, n_estimators=800,
             n_jobs=None, num_parallel_tree=None, ...))",6390,9332,4.47,-500.8
