period,value,target,lag_1,lag_2,lag_3,lag_7,lag_14,lag_21,lag_28,lag_365,lag_366,rolling_7,rolling_30
2020-01-02,135759,133483.0,124168.0,131905.0,134843.0,131981.0,155134.0,143877.0,139469.0,136354.0,119601.0,127535.28571428571,134890.4
2020-01-03,133483,122924.0,135759.0,124168.0,131905.0,129502.0,150697.0,140211.0,138082.0,136364.0,136354.0,128075.0,134663.2
2020-01-04,122924,123997.0,133483.0,135759.0,124168.0,119817.0,137208.0,126146.0,129152.0,136034.0,136364.0,128643.71428571429,134407.23333333334
2020-01-05,123997,138154.0,122924.0,133483.0,135759.0,120531.0,128731.0,124792.0,127945.0,124696.0,136034.0,129087.57142857143,133855.73333333334
2020-01-06,138154,136907.0,123997.0,122924.0,133483.0,134843.0,134395.0,142334.0,136920.0,123149.0,124696.0,129582.71428571429,133386.23333333334
2020-01-07,136907,140076.0,138154.0,123997.0,122924.0,131905.0,129477.0,145643.0,133868.0,142770.0,123149.0,130055.71428571429,133686.3
2020-01-08,140076,144582.0,136907.0,138154.0,123997.0,124168.0,119684.0,146073.0,140390.0,138751.0,142770.0,130770.28571428571,133985.03333333333
2020-01-09,144582,137402.0,140076.0,136907.0,138154.0,135759.0,131981.0,155134.0,143877.0,137410.0,138751.0,133042.85714285713,134090.23333333334
2020-01-10,137402,119972.0,144582.0,140076.0,136907.0,133483.0,129502.0,150697.0,140211.0,143223.0,137410.0,134303.2857142857,134447.36666666667
2020-01-11,119972,116201.0,137402.0,144582.0,140076.0,122924.0,119817.0,137208.0,126146.0,147813.0,143223.0,134863.14285714287,134347.76666666666
2020-01-12,116201,132956.0,119972.0,137402.0,144582.0,123997.0,120531.0,128731.0,124792.0,137066.0,147813.0,134441.42857142858,133550.93333333332
2020-01-13,132956,134513.0,116201.0,119972.0,137402.0,138154.0,134843.0,134395.0,142334.0,134196.0,137066.0,133327.7142857143,132750.6
2020-01-14,134513,132082.0,132956.0,116201.0,119972.0,136907.0,131905.0,129477.0,145643.0,148361.0,134196.0,132585.14285714287,132977.6
2020-01-15,132082,134558.0,134513.0,132956.0,116201.0,140076.0,124168.0,119684.0,146073.0,146343.0,148361.0,132243.14285714287,133301.63333333333
2020-01-16,134558,144695.0,132082.0,134513.0,132956.0,144582.0,135759.0,131981.0,155134.0,144923.0,146343.0,131101.14285714287,132959.9
2020-01-17,144695,137365.0,134558.0,132082.0,134513.0,137402.0,133483.0,129502.0,150697.0,145991.0,144923.0,129669.14285714286,132590.4
2020-01-18,137365,126410.0,144695.0,134558.0,132082.0,119972.0,122924.0,119817.0,137208.0,143529.0,145991.0,130711.0,132544.46666666667
2020-01-19,126410,142280.0,137365.0,144695.0,134558.0,116201.0,123997.0,120531.0,128731.0,132279.0,143529.0,133195.7142857143,131952.16666666666
2020-01-20,142280,148015.0,126410.0,137365.0,144695.0,132956.0,138154.0,134843.0,134395.0,133912.0,132279.0,134654.14285714287,131142.6
2020-01-21,148015,143862.0,142280.0,126410.0,137365.0,134513.0,136907.0,131905.0,129477.0,159311.0,133912.0,135986.14285714287,131311.66666666666
2020-01-22,143862,139314.0,148015.0,142280.0,126410.0,132082.0,140076.0,124168.0,119684.0,159198.0,159311.0,137915.0,131954.46666666667
2020-01-23,139314,135154.0,143862.0,148015.0,142280.0,134558.0,144582.0,135759.0,131981.0,148575.0,159198.0,139597.85714285713,132270.03333333333
2020-01-24,135154,126400.0,139314.0,143862.0,148015.0,144695.0,137402.0,133483.0,129502.0,139935.0,148575.0,140277.2857142857,132597.93333333332
2020-01-25,126400,122177.0,135154.0,139314.0,143862.0,137365.0,119972.0,122924.0,119817.0,141638.0,139935.0,138914.2857142857,133113.6
2020-01-26,122177,136627.0,126400.0,135154.0,139314.0,126410.0,116201.0,123997.0,120531.0,134276.0,141638.0,137347.85714285713,132927.56666666668
2020-01-27,136627,136552.0,122177.0,126400.0,135154.0,142280.0,132956.0,138154.0,134843.0,127404.0,134276.0,136743.14285714287,132683.4
2020-01-28,136552,138459.0,136627.0,122177.0,126400.0,148015.0,134513.0,136907.0,131905.0,145347.0,127404.0,135935.57142857142,133243.73333333334
2020-01-29,138459,140924.0,136552.0,136627.0,122177.0,143862.0,132082.0,140076.0,124168.0,146703.0,145347.0,134298.0,133777.76666666666
2020-01-30,140924,137659.0,138459.0,136552.0,136627.0,139314.0,134558.0,144582.0,135759.0,153858.0,146703.0,133526.14285714287,133898.3
2020-01-31,137659,125498.0,140924.0,138459.0,136552.0,135154.0,144695.0,137402.0,133483.0,166578.0,153858.0,133756.14285714287,134198.93333333332
2020-02-01,125498,122930.0,137659.0,140924.0,138459.0,126400.0,137365.0,119972.0,122924.0,163256.0,166578.0,134114.0,134648.63333333333
2020-02-02,122930,133021.0,125498.0,137659.0,140924.0,122177.0,126410.0,116201.0,123997.0,145804.0,163256.0,133985.14285714287,134306.6
2020-02-03,133021,132023.0,122930.0,125498.0,137659.0,136627.0,142280.0,132956.0,138154.0,131390.0,145804.0,134092.7142857143,133954.83333333334
2020-02-04,132023,133837.0,133021.0,122930.0,125498.0,136552.0,148015.0,134513.0,136907.0,137369.0,131390.0,133577.57142857142,134291.4
2020-02-05,133837,136492.0,132023.0,133021.0,122930.0,138459.0,143862.0,132082.0,140076.0,132731.0,137369.0,132930.57142857142,134558.93333333332
2020-02-06,136492,135744.0,133837.0,132023.0,133021.0,140924.0,139314.0,134558.0,144582.0,134941.0,132731.0,132270.2857142857,134415.03333333333
2020-02-07,135744,127588.0,136492.0,133837.0,132023.0,137659.0,135154.0,144695.0,137402.0,137591.0,134941.0,131637.14285714287,134401.2
2020-02-08,127588,124149.0,135744.0,136492.0,133837.0,125498.0,126400.0,137365.0,119972.0,136194.0,137591.0,131363.57142857142,134256.8
2020-02-09,124149,135691.0,127588.0,135744.0,136492.0,122930.0,122177.0,126410.0,116201.0,133854.0,136194.0,131662.14285714287,133690.33333333334
2020-02-10,135691,133740.0,124149.0,127588.0,135744.0,133021.0,136627.0,142280.0,132956.0,132123.0,133854.0,131836.2857142857,133248.56666666668
2020-02-11,133740,133541.0,135691.0,124149.0,127588.0,132023.0,136552.0,148015.0,134513.0,143162.0,132123.0,132217.7142857143,133772.53333333333
2020-02-12,133541,136077.0,133740.0,135691.0,124149.0,133837.0,138459.0,143862.0,132082.0,147267.0,143162.0,132463.0,134357.16666666666
2020-02-13,136077,139289.0,133541.0,133740.0,135691.0,136492.0,140924.0,139314.0,134558.0,141368.0,147267.0,132420.7142857143,134376.66666666666
2020-02-14,139289,134595.0,136077.0,133541.0,133740.0,135744.0,137659.0,135154.0,144695.0,139781.0,141368.0,132361.42857142858,134428.8
2020-02-15,134595,126028.0,139289.0,136077.0,133541.0,127588.0,125498.0,126400.0,137365.0,134017.0,139781.0,132867.85714285713,134669.03333333333
2020-02-16,126028,125814.0,134595.0,139289.0,136077.0,124149.0,122930.0,122177.0,126410.0,122681.0,134017.0,133868.85714285713,134670.26666666666
2020-02-17,125814,134632.0,126028.0,134595.0,139289.0,135691.0,133021.0,136627.0,142280.0,124444.0,122681.0,134137.2857142857,134048.03333333333
2020-02-18,134632,131988.0,125814.0,126028.0,134595.0,133740.0,132023.0,136552.0,148015.0,132375.0,124444.0,132726.2857142857,133663.0
2020-02-19,131988,138646.0,134632.0,125814.0,126028.0,133541.0,133837.0,138459.0,143862.0,143375.0,132375.0,132853.7142857143,133937.06666666668
2020-02-20,138646,141414.0,131988.0,134632.0,125814.0,136077.0,136492.0,140924.0,139314.0,146783.0,143375.0,132631.85714285713,133594.0
2020-02-21,141414,125920.0,138646.0,131988.0,134632.0,139289.0,135744.0,137659.0,135154.0,137778.0,146783.0,132998.85714285713,133281.7
2020-02-22,125920,119214.0,141414.0,138646.0,131988.0,134595.0,127588.0,125498.0,126400.0,134984.0,137778.0,133302.42857142858,133200.1
2020-02-23,119214,129724.0,125920.0,141414.0,138646.0,126028.0,124149.0,122930.0,122177.0,125888.0,134984.0,132063.14285714287,132753.63333333333
2020-02-24,129724,130168.0,119214.0,125920.0,141414.0,125814.0,135691.0,133021.0,136627.0,123497.0,125888.0,131089.7142857143,132222.3
2020-02-25,130168,131364.0,129724.0,119214.0,125920.0,134632.0,133740.0,132023.0,136552.0,139220.0,123497.0,131648.2857142857,132333.1
2020-02-26,131364,133929.0,130168.0,129724.0,119214.0,131988.0,133541.0,133837.0,138459.0,143977.0,139220.0,131010.57142857143,132599.46666666667
2020-02-27,133929,138016.0,131364.0,130168.0,129724.0,138646.0,136077.0,136492.0,140924.0,146740.0,143977.0,130921.42857142857,132424.03333333333
2020-02-28,138016,129490.0,133929.0,131364.0,130168.0,141414.0,139289.0,135744.0,137659.0,143568.0,146740.0,130247.57142857143,132336.6
2020-02-29,129490,126062.0,138016.0,133929.0,131364.0,125920.0,134595.0,127588.0,125498.0,144308.0,143568.0,129762.14285714286,132321.83333333334
2020-03-01,126062,131611.0,129490.0,138016.0,133929.0,119214.0,126028.0,124149.0,122930.0,131932.0,144308.0,130272.14285714286,131940.7
2020-03-02,131611,128988.0,126062.0,129490.0,138016.0,129724.0,125814.0,135691.0,133021.0,127285.0,131932.0,131250.42857142858,131554.13333333333
2020-03-03,128988,128251.0,131611.0,126062.0,129490.0,130168.0,134632.0,133740.0,132023.0,141496.0,127285.0,131520.0,131757.9
2020-03-04,128251,129517.0,128988.0,131611.0,126062.0,131364.0,131988.0,133541.0,133837.0,145819.0,141496.0,131351.42857142858,131959.83333333334
2020-03-05,129517,132096.0,128251.0,128988.0,131611.0,133929.0,138646.0,136077.0,136492.0,151133.0,145819.0,130906.71428571429,131800.83333333334
2020-03-06,132096,122125.0,129517.0,128251.0,128988.0,138016.0,141414.0,139289.0,135744.0,150928.0,151133.0,130276.42857142857,131717.3
2020-03-07,122125,113235.0,132096.0,129517.0,128251.0,129490.0,125920.0,134595.0,127588.0,144237.0,150928.0,129430.71428571429,131659.26666666666
2020-03-08,113235,126959.0,122125.0,132096.0,129517.0,126062.0,119214.0,126028.0,124149.0,127330.0,144237.0,128378.57142857143,131180.36666666667
2020-03-09,126959,125748.0,113235.0,122125.0,132096.0,131611.0,129724.0,125814.0,135691.0,122703.0,127330.0,126546.14285714286,130430.06666666667
2020-03-10,125748,124617.0,126959.0,113235.0,122125.0,128988.0,130168.0,134632.0,133740.0,134548.0,122703.0,125881.57142857143,130409.1
2020-03-11,124617,128016.0,125748.0,126959.0,113235.0,128251.0,131364.0,131988.0,133541.0,137516.0,134548.0,125418.71428571429,130462.4
2020-03-12,128016,126067.0,124617.0,125748.0,126959.0,129517.0,133929.0,138646.0,136077.0,137522.0,137516.0,124899.57142857143,130093.26666666666
